screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1546.PNG,1,1,,,unknown,,no_candidates; user_identify
IMG_1546.PNG,1,2,,,unknown,,top3=Minccino(72); Cinccino(63); Incineroar ex(59); user_identify
IMG_1546.PNG,1,3,,,unknown,,top3=Sina(75); Shinx(66); Flint(66); user_identify
IMG_1546.PNG,2,1,Potion,,unknown,false,autofill (score 100); user_verify
IMG_1546.PNG,2,2,X Speed,,unknown,false,autofill (score 100); user_verify
IMG_1546.PNG,2,3,,,unknown,,top3=Choice Band(66); Muscle Band(66); Houndstone(60); user_identify
IMG_1546.PNG,3,1,,,unknown,,top3=Dexio(66); Zapdos ex(62); Palkia ex(62); user_identify
IMG_1546.PNG,3,2,,,unknown,,top3=Poké Ball(94); Love Ball(77); Net Ball(70); user_identify
IMG_1546.PNG,3,3,,,unknown,,top3=Terrakion(66); Training Area(56); Training Court(53); user_identify
