screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1525.PNG,1,1,Morpeko,1,unknown,false,
IMG_1525.PNG,1,2,Bonsly,1,unknown,false,
IMG_1525.PNG,1,3,Riolu,1,unknown,false,
IMG_1525.PNG,2,1,Meltan,1,unknown,false,
IMG_1525.PNG,2,2,Moltres,1,unknown,true,
IMG_1525.PNG,2,3,Marowak,1,unknown,true,
IMG_1525.PNG,3,1,Incineroar,1,unknown,true,
IMG_1525.PNG,3,2,Mega Venusaur ex,2,unknown,true,MEGA; user wrote Venosaur
IMG_1525.PNG,3,3,Mega Charizard Y ex,2,unknown,true,MEGA Charizard Y EX
