screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1530.PNG,1,1,,,unknown,,top3=Leaf(66); Golem(57); Gible(57); user_identify
IMG_1530.PNG,1,2,,,unknown,,top3=Porygon2(18); Quick-Grow Extract(0); Blaziken(0); user_identify
IMG_1530.PNG,1,3,,,unknown,,top3=N(66); Mienfoo(44); Nuzleaf(44); user_identify
IMG_1530.PNG,2,1,,,unknown,,top3=Steelix(73); Steelix ex(63); Mega Steelix ex(51); user_identify
IMG_1530.PNG,2,2,,,unknown,,top3=Probopass(72); Aromatisse(46); Lapras(45); user_identify
IMG_1530.PNG,2,3,,,unknown,,top3=Maxie(66); Ice Heal(66); Dive Ball(61); user_identify
IMG_1530.PNG,3,1,,,unknown,,top3=Porygon2(69); Porygon-Z(66); Porygon-Z ex(66); user_identify
IMG_1530.PNG,3,2,,,unknown,,top3=Solosis(60); Nosepass(54); Sandslash(50); user_identify
IMG_1530.PNG,3,3,,,unknown,,top3=Bouffalant(83); Rufflet(47); Salandit(45); user_identify; ref:stage=Basic; type=Colorless; rarity=two_diamond; set=B1a
