screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1532.PNG,1,1,,,unknown,,top3=Hop(50); Opal(40); Hapu(40); user_identify
IMG_1532.PNG,1,2,,,unknown,,top3=Leavanny(80); Penny(47); Heavy Ball(45); user_identify; ref:stage=Stage 2; type=Grass; rarity=two_diamond; set=B3
IMG_1532.PNG,1,3,,,unknown,,top3=Raichu(60); Raihan(60); Tabitha(54); user_identify
IMG_1532.PNG,2,1,,,unknown,,top3=Claw Fossil(53); Armor Fossil(50); Nosepass(50); user_identify
IMG_1532.PNG,2,2,,,unknown,,top3=Poliwhirl(75); Power Plant(53); Poliwrath(50); user_identify
IMG_1532.PNG,2,3,,,unknown,,top3=Paldean Tauros(80); Tauros ex(53); Alolan Marowak(51); user_identify; ref:stage=Basic; type=Fighting; rarity=two_diamond; set=B2a
IMG_1532.PNG,3,1,,,unknown,,top3=Quagsire(69); Squirtle(43); Sandshrew(41); user_identify
IMG_1532.PNG,3,2,,,unknown,,top3=Heal Ball(52); Cacnea(50); Tangela(47); user_identify
IMG_1532.PNG,3,3,,,unknown,,top3=Gorebyss(69); Colress(45); Gourgeist(41); user_identify
