screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1544.PNG,1,1,,,unknown,,no_candidates; user_identify
IMG_1544.PNG,1,2,,,unknown,,no_candidates; user_identify
IMG_1544.PNG,1,3,,,unknown,,no_candidates; user_identify
IMG_1544.PNG,2,1,,,unknown,,no_candidates; user_identify
IMG_1544.PNG,2,2,,,unknown,,no_candidates; user_identify
IMG_1544.PNG,2,3,,,unknown,,top3=Mimikyu ex(52); Max Elixir(52); Giant Cape(52); user_identify
IMG_1544.PNG,3,1,,,unknown,,no_candidates; user_identify
IMG_1544.PNG,3,2,,,unknown,,top3=Nessa(57); Surskit(44); Shellos(44); user_identify
IMG_1544.PNG,3,3,,,unknown,,no_candidates; user_identify
