screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1543.PNG,1,1,,,unknown,,top3=Cubchoo(82); Cubone(50); Cascoon(47); user_identify; ref:stage=Basic; type=Water; rarity=one_diamond; set=B3
IMG_1543.PNG,1,2,,,unknown,,top3=Sobble(50); Nasty Notice(46); Brigette(45); user_identify
IMG_1543.PNG,1,3,,,unknown,,top3=Magnemite(64); Magneton(51); Magnezone ex(51); user_identify
IMG_1543.PNG,2,1,,,unknown,,top3=Voltorb(82); Moltres ex(50); Victor(50); user_identify; ref:stage=Basic; type=Lightning; rarity=one_diamond; set=B3
IMG_1543.PNG,2,2,,,unknown,,top3=Electrode(78); Electrike(60); Electivire(58); user_identify
IMG_1543.PNG,2,3,,,unknown,,top3=Morpeko(70); Murkrow(50); Meowth ex(45); user_identify
IMG_1543.PNG,3,1,,,unknown,,no_candidates; user_identify
IMG_1543.PNG,3,2,,,unknown,,no_candidates; user_identify
IMG_1543.PNG,3,3,,,unknown,,no_candidates; user_identify
