screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1533.PNG,1,1,,,unknown,,top3=Magneton(72); Magnezone ex(61); Magnezone(60); user_identify
IMG_1533.PNG,1,2,,,unknown,,top3=Aero Ball(52); Petilil(47); Quaxwell(44); user_identify
IMG_1533.PNG,1,3,,,unknown,,no_candidates; user_identify
IMG_1533.PNG,2,1,,,unknown,,no_candidates; user_identify
IMG_1533.PNG,2,2,,,unknown,,no_candidates; user_identify
IMG_1533.PNG,2,3,,,unknown,,top3=Seel(66); Numel(57); Elesa(57); user_identify
IMG_1533.PNG,3,1,,,unknown,,top3=Phione(61); Growlithe(50); Shinx(50); user_identify
IMG_1533.PNG,3,2,,,unknown,,top3=Mandibuzz(81); Meganium(47); Electabuzz(43); user_identify; ref:stage=Stage 1; type=Darkness; rarity=two_diamond; set=B3
IMG_1533.PNG,3,3,,,unknown,,top3=Eevee(72); Eevee ex(71); Indeedee ex(58); user_identify
