screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1525.PNG,1,1,,,,false,no OCR text; identify from contact sheet
IMG_1525.PNG,1,2,,,,false,OCR read Bonsly 30 (score 47); verify from contact sheet
IMG_1525.PNG,1,3,Riolu,,unknown,false,candidate_from_ocr score 83; user_verify quantity and special_type
IMG_1525.PNG,2,1,,,,false,no OCR match; identify from contact sheet
IMG_1525.PNG,2,2,,,,false,no OCR text; identify from contact sheet
IMG_1525.PNG,2,3,,,,false,OCR read Marowak (score 64); verify from contact sheet
IMG_1525.PNG,3,1,,,,false,no OCR text; identify from contact sheet
IMG_1525.PNG,3,2,,,,false,low OCR score; identify from contact sheet
IMG_1525.PNG,3,3,,,,false,low OCR score; identify from contact sheet
