screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1535.PNG,1,1,Cheren,,unknown,false,autofill (score 100); user_verify; ref:category=Supporter; rarity=two_diamond; set=B3
IMG_1535.PNG,1,2,Arena of Antiquity,,unknown,false,autofill (score 100); user_verify; ref:category=Stadium; rarity=two_diamond; set=B3
IMG_1535.PNG,1,3,,,unknown,,no_candidates; user_identify
IMG_1535.PNG,2,1,,,unknown,,top3=Ralts(57); Tauros(50); Latias(50); user_identify
IMG_1535.PNG,2,2,,,unknown,,top3=Shellder(84); Shelly(58); Shellos(55); user_identify; ref:stage=Basic; type=Water; rarity=one_star; set=B1a
IMG_1535.PNG,2,3,,,unknown,,no_candidates; user_identify
IMG_1535.PNG,3,1,,,unknown,,no_candidates; user_identify
IMG_1535.PNG,3,2,,,unknown,,no_candidates; user_identify
IMG_1535.PNG,3,3,,,unknown,,no_candidates; user_identify
