screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1539.PNG,1,1,,,unknown,,top3=Aromatisse(66); Fomantis(48); Raticate(48); user_identify
IMG_1539.PNG,1,2,,,unknown,,top3=Latios(60); Ariados(54); Spidops(54); user_identify
IMG_1539.PNG,1,3,,,unknown,,top3=Makuhita(84); Palkia ex(50); Machamp ex(47); user_identify; ref:stage=Basic; type=Fighting; rarity=one_diamond; set=B1
IMG_1539.PNG,2,1,Nosepass,,unknown,false,autofill (score 100); user_verify; ref:stage=Basic; type=Fighting; rarity=one_diamond; set=B1a
IMG_1539.PNG,2,2,,,unknown,,no_candidates; user_identify
IMG_1539.PNG,2,3,,,unknown,,top3=Mienshao(72); Mienfoo(47); Bisharp(47); user_identify
IMG_1539.PNG,3,1,,,unknown,,top3=Grimer(75); Alolan Grimer(60); Grimsley(55); user_identify
IMG_1539.PNG,3,2,,,unknown,,top3=Seel(50); Bede(50); Eevee(44); user_identify
IMG_1539.PNG,3,3,,,unknown,,top3=Porygon(82); Porygon2(77); Porygon-Z(73); user_identify; ref:stage=Basic; type=Colorless; rarity=one_diamond; set=B1a
