screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1536.PNG,1,1,,,unknown,,top3=Dratini(82); Drapion(58); Dragonair(52); user_identify; ref:stage=Basic; type=Dragon; rarity=one_diamond; set=B2b
IMG_1536.PNG,1,2,,,unknown,,top3=Pidgey(80); Pidgeot(62); Pidgeotto(55); user_identify; ref:stage=Basic; type=Colorless; rarity=one_diamond; set=B1
IMG_1536.PNG,1,3,,,unknown,,top3=Rattata(82); Raticate(55); Patrat(50); user_identify
IMG_1536.PNG,2,1,,,unknown,,top3=Raticate(61); Dragonite ex(46); Caterpie(46); user_identify
IMG_1536.PNG,2,2,,,unknown,,top3=Jigglypuff(87); Wigglytuff(69); Sigilyph(47); user_identify; ref:stage=Basic; type=Colorless; rarity=one_diamond; set=B2b
IMG_1536.PNG,2,3,,,unknown,,top3=Flame Patch(50); Fletchling(43); Rare Candy(43); user_identify
IMG_1536.PNG,3,1,,,unknown,,top3=Dubwool(70); Wooloo(42); Buzzwole ex(41); user_identify
IMG_1536.PNG,3,2,,,unknown,,no_candidates; user_identify
IMG_1536.PNG,3,3,,,unknown,,no_candidates; user_identify
