screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1542.PNG,1,1,Numel,2,unknown,false,
IMG_1542.PNG,1,2,Castform Sunny Form,1,unknown,false,user wrote Casstform Sunny Form
IMG_1542.PNG,1,3,Tepig,1,unknown,false,
IMG_1542.PNG,2,1,Darumaka,2,unknown,false,
IMG_1542.PNG,2,2,Larvesta,3,unknown,false,
IMG_1542.PNG,2,3,Wooper,2,unknown,false,
IMG_1542.PNG,3,1,Castform Rainy Form,3,unknown,false,user wrote Casstform Rainy Form
IMG_1542.PNG,3,2,Castform Snowy Form,1,unknown,false,user wrote Casstform Snowy form
IMG_1542.PNG,3,3,Clamperl,4,unknown,false,
