screenshot,row,column,card_name,quantity,special_type,is_ex,notes
IMG_1545.PNG,1,1,,,unknown,,no_candidates; user_identify
IMG_1545.PNG,1,2,,,unknown,,top3=Giant Cape(58); Repeat Ball(55); Caterpie(53); user_identify
IMG_1545.PNG,1,3,,,unknown,,top3=Seviper(73); Sceptile ex(52); Expert Belt(52); user_identify
IMG_1545.PNG,2,1,,,unknown,,no_candidates; user_identify
IMG_1545.PNG,2,2,,,unknown,,top3=Poké Ball(40); Paralyze Heal(40); Mega Pinsir ex(38); user_identify
IMG_1545.PNG,2,3,,,unknown,,top3=Bronzor(82); Bronzong(66); Byron(53); user_identify; ref:stage=Basic; type=Metal; rarity=one_diamond; set=B3
IMG_1545.PNG,3,1,,,unknown,,top3=Chansey(66); Chandelure(58); Rare Candy(50); user_identify
IMG_1545.PNG,3,2,,,unknown,,top3=Castform(72); Castform Snowy Form(60); Castform Sunny Form(54); user_identify
IMG_1545.PNG,3,3,,,unknown,,top3=Ho-Oh(25); Mew ex(22); Chi-Yu(22); user_identify
