card_id,card_name,quantity,special_type,is_ex,rarity,source_screenshot,notes,confirmed_set_code,confirmed_card_number,confirmed_pack_name,confirmed_yes_no
urshifu_unknown_unknown_v1,Urshifu,1,unknown,False,unknown,IMG_1527.PNG,No match in pack_sources by name,,,,
potion_unknown_unknown_v1,Potion,1,unknown,False,unknown,IMG_1546.PNG,No match in pack_sources by name,,,,
x_speed_unknown_unknown_v1,X Speed,1,unknown,False,unknown,IMG_1546.PNG,No match in pack_sources by name,,,,
hand_scope_unknown_unknown_v1,Hand Scope,1,unknown,False,unknown,IMG_1546.PNG,No match in pack_sources by name,,,,
pok_dex_unknown_unknown_v1,Pokédex,1,unknown,False,unknown,IMG_1546.PNG,No match in pack_sources by name,,,,
red_card_unknown_unknown_v1,Red Card,1,unknown,False,unknown,IMG_1546.PNG,No match in pack_sources by name,,,,
zygarde_unknown_unknown_v1,Zygarde,1,unknown,False,unknown,IMG_1547.PNG,No match in pack_sources by name,,,,
zygarde_unknown_unknown_v2,Zygarde,3,unknown,False,unknown,IMG_1547.PNG,No match in pack_sources by name,,,,
