batch_number,pack_name,expansion,set_code,packs_to_open,hourglass_cost,unified_score,new_card_ev_10x,cost_per_unique_card_10x,ev_diminishing_returns_ratio,missing_in_pool,near_complete,rerun_after,notes
1,Ho-Oh,Wisdom of Sea and Sky,A4,10,120,61.127362,61.114378,1.96,0.839,133,True,True,Open first batch from the top unified-score pack. WARNING: DR ratio=0.839 < 0.85 — this pool is near-complete; switch to #2 after this batch.
2,Lugia,Wisdom of Sea and Sky,A4,10,120,60.314426,60.281522,1.99,0.8439,129,True,True,Switched to #2 pack (near-complete flag on batch 1).
3,Secluded Springs,Secluded Springs,A4a,10,120,58.630726,58.630726,2.05,0.7924,105,True,True,Re-run EV after this batch; rotate to highest unified-score pack for batch 4.
